label;msg_stemmed
Negatif;['buka', 'memang', 'wisatawan', 'akses', 'kesini', 'sejak', 'buka', 'gak', 'ramai', 'dulu']
Netral;['buka', 'tengah', 'pandemi', 'covid', 'akhir', 'lalu', 'rata', 'rata', 'unjung', 'datang', 'kwj']
Negatif;['dapat', 'wisata', 'wilayah', 'taman', 'nasional', 'bromotenggersemeru', 'anjlok', 'selamapandemi', 'covid']
Negatif;['turun', 'sebab', 'tutup', 'kawasan', 'tnbts', 'sejak', 'maret', 'hingga', 'agustus', 'pandemi', 'covid']
Positif;['tempat', 'wisata', 'kota', 'malang', 'angsur', 'pulih', 'usai', 'covid', 'mulai', 'reda']
Negatif;['covid', 'lumpuh', 'sektor', 'pariwisata', 'kota', 'malang']
Netral;['wisata', 'kota', 'malang', 'covid', 'mulai', 'reda']
Positif;['masyarakat', 'kota', 'malang', 'mulai', 'sering', 'unjung', 'tempat', 'wisata', 'turun', 'angka', 'pandemi']
Positif;['wisata', 'kota', 'malang', 'semenjak', 'pandemi', 'dapat', 'prokes', 'hindar', 'sebar', 'virus', 'covid']
Negatif;['covid', 'pengaruh', 'kondisi', 'wisata', 'kota', 'malang']
Negatif;['semenjak', 'ppkm', 'wisata', 'kota', 'malang', 'alami', 'turun', 'jumlah', 'wisatawan']
Negatif;['wisata', 'kuliner', 'kota', 'malang', 'awal', 'pandemi', 'banyak', 'alami', 'rugi', 'karena', 'atur', 'ppkm']
Negatif;['jumlah', 'wisatawan', 'kota', 'malang', 'alami', 'turun', 'pengaruh', 'pad', 'kota', 'malang']
Negatif;['banyak', 'milik', 'wisata', 'kota', 'malang', 'alami', 'gulung', 'tikar', 'sejak', 'awal', 'covid']
Negatif;['ada', 'ppkm', 'buat', 'pariwisata', 'kota', 'malang', 'turun']
Negatif;['wisata', 'jatim', 'park', 'alami', 'turun', 'dapat', 'akibat', 'covid']
Negatif;['ekonomi', 'kota', 'malang', 'alami', 'turun', 'akibat', 'pariwisata', 'kota', 'malang', 'sepi', 'unjung']
Positif;['ekonomi', 'tempat', 'wisata', 'mulai', 'tingkat', 'iring', 'covid', 'mulai', 'redup']
Negatif;['pandemi', 'covid', 'akibat', 'turun', 'drastis', 'wisatawan', 'kunjung', 'kota', 'malang']
Negatif;['wisata', 'pandemi', 'larang', 'perintah', 'sebab', 'tular', 'sangat', 'cepat', 'pesat']
Positif;['tetap', 'guna', 'masker', 'pergi', 'wisata', 'kota', 'malang', 'keluarga', 'tetap', 'aman', 'sehat', 'hindar', 'covid']
Positif;['wisata', 'tetap', 'patuh', 'protokol', 'sehat', 'meski', 'pandemi', 'kendali']
Positif;['meski', 'atur', 'jarak', 'hapus', 'tetap', 'jaga', 'jarak', 'sendiri', 'hindar', 'tular', 'virus', 'covid', 'wisata', 'kota', 'malang']
Positif;['perlu', 'tingkat', 'guna', 'peduli', 'lindung', 'tempat', 'wisata', 'malang', 'lebih', 'mudah', 'lacak', 'ada', 'orang', 'papar', 'virus', 'covid']
Negatif;['sangat', 'sayang', 'tempat', 'wisata', 'malang', 'banyak', 'awat', 'gara', 'gara', 'covid', 'kemaren']
Positif;['beberapa', 'tempat', 'wisata', 'malang', 'libur', 'pandemi', 'jadi', 'sempat', 'renovasi', 'jadi', 'tempat', 'wisata', 'aman', 'arah']
Negatif;['pandemi', 'tempat', 'wisata', 'paksa', 'tetap', 'buka', 'tawar', 'harga', 'lebih', 'murah', 'tarik', 'unjung']
Negatif;['pandemi', 'covid', 'akibat', 'turun', 'drastis', 'wisatawan', 'kunjung', 'kota', 'malang']
Netral;['sejak', 'ada', 'ppkm', 'tempat', 'wisata', 'kota', 'malang', 'banyak', 'tutup']
Positif;['sekarang', 'wisata', 'kota', 'malang', 'mulai', 'pulih', 'banyak', 'datang', 'wisatawan']
